epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.819,0.97415,2.4361,1.2155,0.52904,0.55516,0.53641,0.40408,0.98573,1.65945,1.28715,0.000276682,0.000276682,0.000276682
2,192.604,0.97879,1.74042,1.20861,0.56929,0.5521,0.54296,0.3812,1.1559,1.67615,1.48062,0.000543373,0.000543373,0.000543373
3,280.743,1.00346,1.59968,1.22881,0.65402,0.58629,0.62716,0.4556,1.05763,1.44404,1.35862,0.000799068,0.000799068,0.000799068
4,365.557,0.99398,1.43775,1.21951,0.68651,0.60773,0.66246,0.48339,1.02426,1.38762,1.32822,0.00078352,0.00078352,0.00078352
5,450.212,0.97387,1.30836,1.21022,0.69636,0.66567,0.69578,0.4978,1.03607,1.2905,1.3166,0.000767026,0.000767026,0.000767026
6,537.267,0.95142,1.21818,1.19484,0.75032,0.64961,0.72063,0.53249,0.97057,1.22869,1.28091,0.000750533,0.000750533,0.000750533
7,629.177,0.93147,1.16231,1.18136,0.73835,0.66279,0.72681,0.54697,0.97378,1.16663,1.27937,0.00073404,0.00073404,0.00073404
8,715.677,0.91443,1.1029,1.18006,0.76388,0.70032,0.76365,0.58441,0.92695,1.06231,1.24526,0.000717546,0.000717546,0.000717546
9,801.851,0.88663,1.04731,1.15424,0.73252,0.70143,0.75594,0.57046,0.95168,1.12522,1.26717,0.000701053,0.000701053,0.000701053
10,890.199,0.87497,1.0123,1.15291,0.82832,0.69748,0.79131,0.60156,0.93428,0.98677,1.23946,0.000684559,0.000684559,0.000684559
11,1009.22,0.8632,0.98182,1.14486,0.80399,0.70185,0.78382,0.59767,0.92286,0.98715,1.24613,0.000668066,0.000668066,0.000668066
12,1100.67,0.85249,0.96351,1.14102,0.75867,0.71133,0.76722,0.58574,0.91139,1.013,1.22809,0.000651573,0.000651573,0.000651573
13,1233.22,0.84336,0.92397,1.1324,0.78311,0.73436,0.79059,0.60615,0.89553,0.97352,1.22108,0.000635079,0.000635079,0.000635079
14,1305.9,0.82162,0.89262,1.12149,0.77577,0.72046,0.78976,0.60493,0.90924,1.00057,1.23653,0.000618586,0.000618586,0.000618586
15,1379.04,0.83103,0.89401,1.12683,0.81583,0.72837,0.80538,0.62063,0.88477,0.91615,1.21702,0.000602092,0.000602092,0.000602092
16,1452.72,0.81438,0.86649,1.11956,0.83669,0.72931,0.81346,0.63569,0.86564,0.89739,1.19954,0.000585599,0.000585599,0.000585599
