epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,150.55,1.22561,2.176,1.40788,0.67976,0.64908,0.66901,0.43042,1.33967,1.3153,1.48528,0.00998227,0.00332742,0.00998227,0.00332742,0.00998227,0.00332742,0.00998227,0.00332742
2,288.574,1.15415,1.43716,1.33226,0.62951,0.59156,0.59894,0.38774,1.31698,1.52327,1.48332,0.0199163,0.00663878,0.0199163,0.00663878,0.0199163,0.00663878,0.0199163,0.00663878
3,423.654,1.21091,1.49429,1.37858,0.63028,0.56002,0.57684,0.35773,1.45022,1.58259,1.65433,0.0297844,0.00992813,0.0297844,0.00992813,0.0297844,0.00992813,0.0297844,0.00992813
4,570.644,1.28888,1.61182,1.43734,0.62849,0.59229,0.62471,0.36907,1.53015,1.57715,1.70297,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,707.915,1.24863,1.52903,1.4203,0.6893,0.5696,0.64555,0.42948,1.27921,1.46423,1.51937,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,839.261,1.21809,1.48506,1.40995,0.72371,0.66088,0.71762,0.48156,1.24055,1.27696,1.47805,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,978.471,1.19798,1.40133,1.38262,0.73809,0.66526,0.72272,0.4947,1.21546,1.22166,1.46147,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,1115.48,1.1564,1.34665,1.35805,0.7694,0.67115,0.73619,0.5045,1.21732,1.1698,1.46596,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,1247.73,1.14587,1.30997,1.35359,0.72509,0.67133,0.72228,0.49386,1.22303,1.20791,1.48794,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,1380.9,1.12522,1.28607,1.34338,0.76351,0.70438,0.75542,0.51389,1.21219,1.11437,1.46629,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,1523.85,1.10606,1.23091,1.33666,0.76523,0.67261,0.74956,0.52248,1.15018,1.13461,1.42904,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1663.42,1.09403,1.20788,1.32509,0.78881,0.68491,0.76018,0.53768,1.0921,1.06664,1.36937,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1799.29,1.07258,1.16525,1.3037,0.77832,0.69322,0.77064,0.5435,1.1156,1.05638,1.38298,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1930.63,1.07175,1.15261,1.31202,0.78053,0.73752,0.77813,0.55657,1.06257,1.00676,1.32892,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,2068.74,1.05278,1.13762,1.29976,0.77676,0.74545,0.7973,0.57338,1.06989,0.97386,1.35129,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,2212.21,1.04006,1.1205,1.29513,0.81028,0.75203,0.81401,0.58685,1.06656,0.96022,1.35133,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,2346.96,1.03206,1.09963,1.27999,0.79081,0.74681,0.80016,0.57743,1.06738,0.95761,1.37149,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,2488.47,1.00815,1.04591,1.26725,0.82368,0.7482,0.81039,0.59579,0.99484,0.94383,1.31077,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,2620.33,1.00407,1.0436,1.26318,0.81188,0.73698,0.80124,0.57628,1.08419,0.92779,1.36081,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,2756.94,1.01059,1.04192,1.27193,0.83239,0.75033,0.81726,0.59897,1.01105,0.90219,1.3165,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,2889.07,0.99364,1.01464,1.25565,0.83051,0.74886,0.82044,0.59785,1.03767,0.90512,1.31387,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,3016.41,0.98383,1.01233,1.2542,0.79287,0.77192,0.83127,0.6134,1.01019,0.87779,1.32663,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,3141.86,0.97547,0.97983,1.23902,0.82091,0.76309,0.82483,0.61962,0.96859,0.87276,1.28753,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
